Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.0,0.0,1.0,0.0,Sun Jun 24 08:22:53 +0000 2018,RT @BBCSport: Fifa has opened an investigation into Granit Xhaka and Xherdan Shaqiri's goal celebrations during Switzerland's World Cup vic…,44,BBCWorld
0.6369,0.0,0.781,0.219,Sun Jun 24 08:13:42 +0000 2018,"RT @BBCSteveR: From (World Cup) Russia with Love:  Marx, Putin, pigeons &amp; a piano accompaniment. #WorldCup https://t.co/xwOgMeNlf2",45,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 07:44:41 +0000 2018,"New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt70QyeRZz",46,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 06:28:30 +0000 2018,Woman 'humiliated' by Walgreens over drugs to end pregnancy https://t.co/lPc86Eo2yL,47,BBCWorld
-0.7506,0.516,0.484,0.0,Sun Jun 24 05:27:48 +0000 2018,Nicaragua protests: Baby killed in Managua clashes https://t.co/ks17QgywFj,48,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 02:59:56 +0000 2018,Turkey election: Erdogan seeks second term in hard-fought contest https://t.co/ICViy1WcdF,49,BBCWorld
0.5106,0.0,0.708,0.292,Sun Jun 24 01:36:26 +0000 2018,100 Women: 'Signing a gagging clause set me free' https://t.co/y59xOTGNwE,50,BBCWorld
-0.5574,0.286,0.714,0.0,Sun Jun 24 01:14:34 +0000 2018,What impact has Donald Trump had on illegal immigration? https://t.co/oN2Vtp7P6w,51,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 01:12:13 +0000 2018,Kenya's 'contaminated sugar' row: What we know https://t.co/iA6N3Hqf2j,52,BBCWorld
0.0258,0.0,0.879,0.121,Sun Jun 24 01:09:49 +0000 2018,Europe migrants: Can the EU reach a new deal? https://t.co/Fr8VLF8lsN,53,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 01:07:22 +0000 2018,How many words do you need to speak a language? https://t.co/LvDicLxGx2,54,BBCWorld
-0.4404,0.274,0.573,0.153,Sun Jun 24 00:48:40 +0000 2018,"Obituary: Suman Virk, the mother who forgave her daughter's killer https://t.co/E52qPUTM0Z",55,BBCWorld
-0.4019,0.278,0.722,0.0,Sat Jun 23 22:18:54 +0000 2018,French jogger detained after crossing US-Canada border https://t.co/Gj3FN7G9nK,56,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 21:25:25 +0000 2018,Sarah Sanders kicked out of restaurant because of work for Trump https://t.co/fs910TE1Lw,57,BBCWorld
-0.296,0.262,0.738,0.0,Sat Jun 23 21:22:40 +0000 2018,Vatican ex-diplomat sentenced to five years on child pornography charges https://t.co/zoiMSAo7o7,58,BBCWorld
-0.128,0.073,0.927,0.0,Sat Jun 23 17:22:19 +0000 2018,"RT @BBCNews: Thousands of people marched through central London to demand a vote on any final #Brexit deal 🇬🇧🇪🇺

https://t.co/35XqTjiYfN ht…",59,BBCWorld
-0.296,0.239,0.761,0.0,Sat Jun 23 16:37:02 +0000 2018,Boru: Golden eagle missing in Monaghan returns https://t.co/6iRTsOqSXE,60,BBCWorld
0.34,0.144,0.606,0.25,Sat Jun 23 15:32:04 +0000 2018,Italy migrant row: Malta defiant over stranded rescue boat https://t.co/Mw4jrRT7ic,61,BBCWorld
-0.7184,0.25,0.75,0.0,Sat Jun 23 14:17:31 +0000 2018,Thousands of gallons of crude oil has leaked into a US river after a train came off the tracks in Iowa… https://t.co/wRUuERvQje,62,BBCWorld
-0.0276,0.141,0.723,0.137,Sat Jun 23 13:58:18 +0000 2018,"RT @BBCSport: FT #BEL 5-2 #TUN 

A very impressive performance from Belgium. Next up for the Red Devils is #ENG... 

📺 @BBCOne 
📻 @5liveSpo…",63,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 13:52:40 +0000 2018,"RT @BBCSport: GOAL! #BEL 5-1 #TUN 

Michy Batshuayi finally gets his goal as he slides in at the back post.

📺 @BBCOne 
📻 @5liveSport 
📱 ht…",64,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 13:47:32 +0000 2018,Explosion rocks Zimbabwe president's rally https://t.co/HIPMq8rMqU,65,BBCWorld
0.4926,0.0,0.878,0.122,Sat Jun 23 13:14:50 +0000 2018,"RT @BBCSport: GOAL! #BEL 4-1 #TUN 

Hazard latches on to De Bruyne's pass, skips past the keeper and scores.

Belgium look good. Very good.…",66,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 12:55:03 +0000 2018,"RT @BBCSport: HT #BEL 3-1 #TUN 

Belgium are in complete control at the break after Lukaku's second.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t…",67,BBCWorld
0.6239,0.0,0.815,0.185,Sat Jun 23 12:49:21 +0000 2018,"RT @BBCSport: GOAL! #BEL 3-1 #TUN 

It's a second for Romelu Lukaku, a delightful chipped finish over the keeper

📺 @BBCOne 
📻 @5liveSport…",68,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 12:18:43 +0000 2018,"RT @BBCSport: GOAL! #BEL 2-1 #TUN 

What a start to this match!

Bronn heads home from an in-swinging free-kick.

📺 @BBCOne 
📻 @5liveSport…",69,BBCWorld
0.2714,0.0,0.896,0.104,Sat Jun 23 12:17:24 +0000 2018,"RT @BBCSport: GOAL! #BEL 2-0 #TUN 

Floodgates?

Romelu Lukaku arrows a fine finish into the bottom corner.

📺 @BBCOne 
📻 @5liveSport 
📱 ht…",70,BBCWorld
0.5106,0.0,0.852,0.148,Sat Jun 23 12:15:29 +0000 2018,"RT @BBCSport: Ireland have survived a dramatic finale to clinch a first Test series victory in Australia since 1979.

Live reaction 👉 https…",71,BBCWorld
0.6588,0.0,0.82,0.18,Sat Jun 23 12:10:12 +0000 2018,"RT @BBCSport: GOAL! #BEL 1-0 #TUN 

Hazard steps up to convert the spot kick - great start for Belgium.

📺 @BBCOne 
📻 @5liveSport 
📱 https:…",72,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 12:01:42 +0000 2018,"RT @BBCSport: #BEL v #TUN is under way!

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/XTVTlxv0mD

#WorldCup #BELTUN #bbcworldcup https://t.co/Z…",73,BBCWorld
-0.7007,0.319,0.567,0.113,Sat Jun 23 11:55:45 +0000 2018,"""I don't know how I survived. I'm amazed how I survived""

Max Eisen's mother, sister and two brothers died at Ausch… https://t.co/9D7Rzc9Pqf",74,BBCWorld
-0.5994,0.358,0.642,0.0,Sat Jun 23 11:48:09 +0000 2018,Dublin park death thought to be 'suspicious' https://t.co/Li65v5fVUf,75,BBCWorld
-0.5423,0.191,0.809,0.0,Sat Jun 23 11:15:29 +0000 2018,"RT @BBCMonitoring: Ethiopian PM's office now says no deaths reported in explosion at rally in the Addis Ababa, contradicting earlier report…",76,BBCWorld
-0.802,0.474,0.526,0.0,Sat Jun 23 11:14:51 +0000 2018,Saudi Arabia's ban on women driving ban to end https://t.co/dPrXbIfu4H,77,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 10:24:00 +0000 2018,Pantera drummer Vinnie Paul dies aged 54 https://t.co/EeRDzr9B76,78,BBCWorld
-0.3182,0.315,0.685,0.0,Sat Jun 23 10:05:09 +0000 2018,'Double eagle' celebration provokes Serbs https://t.co/GO7vAzGjmh,79,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 08:01:56 +0000 2018,US military plans migrant tent camps amid Trump crackdown https://t.co/kZEmpbsD1V,80,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 07:30:51 +0000 2018,Explosion hits Ethiopia PM rally https://t.co/hpbujYXRRR,81,BBCWorld
-0.5267,0.327,0.673,0.0,Sat Jun 23 03:55:10 +0000 2018,Trump says North Korea still 'extraordinary threat' https://t.co/JrJw1h2RXe,82,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 01:09:47 +0000 2018,Anthony Bourdain: Chef's mother plans memorial tattoo https://t.co/YBlfu09bdN,83,BBCWorld
0.0,0.0,1.0,0.0,Sat Jun 23 00:39:37 +0000 2018,Unravelling the mystery of Akon's Wakanda https://t.co/AMnczGpuAt,84,BBCWorld
0.4019,0.0,0.748,0.252,Sat Jun 23 00:12:56 +0000 2018,The Aquarius: Migrant taxi service or charitable rescuers? https://t.co/FJqdasj52U,85,BBCWorld
0.0,0.0,1.0,0.0,Fri Jun 22 23:15:25 +0000 2018,The Kashmiri art bringing Hindus and Muslims together https://t.co/YobgGIkYEs,86,BBCWorld
-0.25,0.25,0.75,0.0,Fri Jun 22 23:10:31 +0000 2018,North Korean propaganda changes its tune https://t.co/NnaM5uUSGe,87,BBCWorld
-0.4939,0.286,0.714,0.0,Fri Jun 22 23:05:03 +0000 2018,Undocumented migrant families embark on chaotic reunion process https://t.co/a8mrwyVk9W,88,BBCWorld
-0.3182,0.204,0.796,0.0,Fri Jun 22 21:41:30 +0000 2018,Baron Edouard-Jean Empain who lost finger to kidnappers dies https://t.co/v4JqEVVG9G,89,BBCWorld
-0.3182,0.204,0.796,0.0,Fri Jun 22 20:41:20 +0000 2018,Trump highlights victims of migrants amid family separations row https://t.co/BBdVNYL93y,90,BBCWorld
0.8126,0.0,0.697,0.303,Fri Jun 22 16:57:16 +0000 2018,"RT @BBCSport: FT #NGA 2-0 #ISL 

Ahmed Musa is the hero for Nigeria with a brilliant double. 

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/rSd…",91,BBCWorld
0.0,0.0,1.0,0.0,Fri Jun 22 16:45:24 +0000 2018,Boris Becker insists CAR diplomatic passport is genuine https://t.co/I78kZ2MYja,92,BBCWorld
0.8264,0.0,0.722,0.278,Fri Jun 22 16:44:56 +0000 2018,"RT @BBCSport: GOAL! #NGA 2-0 #ISL 

Ahmed Musa again! He breaks free, goes round the keeper and fires home - a brilliant individual goal.…",93,BBCWorld
-0.7964,0.542,0.458,0.0,Fri Jun 22 16:18:16 +0000 2018,Is racism worsening Australia's China influence row? https://t.co/YF8MfJd8uY,94,BBCWorld
0.7163,0.0,0.816,0.184,Fri Jun 22 16:13:12 +0000 2018,"RT @BBCSport: GOAL! #NGA 1-0 #ISL 

Ahmed Musa! He collects a cross mid-air and hammers into the back of the net - great goal!

📺 @BBCOne…",95,BBCWorld
-0.5994,0.358,0.642,0.0,Fri Jun 22 15:50:46 +0000 2018,Koko: Gorilla death coverage rekindles language debate https://t.co/fTmgGwuuml,96,BBCWorld
0.0,0.0,1.0,0.0,Fri Jun 22 15:22:53 +0000 2018,Ethiopia unblocks 264 websites and TV channels https://t.co/NmDhDcEFIx,97,BBCWorld
0.0,0.0,1.0,0.0,Fri Jun 22 15:16:27 +0000 2018,"RT @BBC_HaveYourSay: Carles Puyol, ex-Barcelona star, barred from Iran World Cup punditry for his flowing locks.
https://t.co/0rEejDzSjw",98,BBCWorld
0.7269,0.0,0.697,0.303,Fri Jun 22 15:09:49 +0000 2018,"RT @BBCMOTD: Spotted at #NGA v #ISL 👀

""Nigeria, please win for Messi."" 😳🇳🇬

https://t.co/2vYhDvda3Q #WorldCup #bbcworldcup https://t.co/iw…",99,BBCWorld
0.1867,0.0,0.902,0.098,Fri Jun 22 21:19:06 +0000 2018,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,0,CBS
